0100000000010000;Super Mario Odyssey™
0100001017216000;Labyrinth of Galleria: The Moon Society
0100003023E4C000;Formula Racing GP: Apex Overtaking
0100004017E54000;Run Box Run
0100009013566000;There Is No Game: Wrong Dimension
010000A014E5A000;Rally Racer: Offroad Racing Car Game
010000E024DB0000;The Cloud Forest
0100010016026000;Block Puzzle
0100016011A1A000;Ship Simulator
010001601590E000;Marbles Rush
0100018013124000;Lost Words: Beyond the Page
010001A00A1F6000;Knock-Knock
010001A015AB2000;Brain Meltdown - Into Despair
010001C016A78000;Alexio
010001E00F75A000;Alchemist's Castle
010001F0213E6000;SMILE SIMULATION
010002001DDF0000;Beach Boys 2: Zodiac Date
0100023012640000;Slots of Poker at Aces Casino
0100000011D90000;Pokémon™ Brilliant Diamond
010000100FB62000;Willy Jetman: Astromonkey's Revenge
010000300B4EE000;STUMP
0100004024AF0000;SEA POWER NAVAL BATTLE COMBAT
010000801E726000;LET'S THROOOW! Street Basketball Simulator
010000900F710000;Treehouse Riddle
01000090210F2000;The Mansion of The Macabre
010000C01F5A2000;Moorhuhn Kart 4
010000E01CCDE000;Wizard Hunter: The End of the Magic World
010000F013E10000;Pineview Drive
0100011012A70000;WeakWood Throne
010001301FF9E000;Treasure Hunt on a World Trip
010001502542A000;Dunk Trickster
010001B005E5C000;Double Dragon 4
010001B019B62000;Iron Lung
010001C01BCAC000;Cynthia: Hidden in the Moonshadow
010001C01D072000;Meaning of Symbols
010001F0145A8000;Isolomus
010000000E5EE000;8-BIT YU-NO'S GREAT ADVENTURE
010000001260E000;KIDS: FARM COLORING
010000001F858000;The Safe Place
0100001019F6E000;Horizon Chase 2
010000400F582000;TT Isle of Man Ride on the Edge 2
010000401FFF2000;City Driver: Police Parking Simulator
0100005024B90000;Car Parking - Garage Simulator
010000700F292000;Arcade Archives THE TIN STAR
010000A01DE72000;Musashi vs Cthulhu
010000B018892000;The Minesweeper: Crew Bomber Expedition
010000B025162000;Korean Drone Flying Tour Okcheon-gun
0100011005D92000;Batman - The Telltale Series
0100013013F30000;What Comes After
0100013018030000;My Divorce Story
01000170203F8000;The Little Mermaid: Ariel and the Star Festival
010001A01E09E000;Corgi´s Travel
010002101FD6E000;Tactical Strike: Special Forces Shooter
010002200CECA000;Cinderella - An Interactive Fairytale
0100005006BA4000;The Keep
0100005018A96000;Archery Escape
0100005020000000;Basketball Anime Girls
010000700A572000;State of Anarchy: Master of Mayhem
01000090248FC000;Mindfulness Moments
010000D017ABA000;QUByte Classics: Zero Tolerance Collection by PIKO
010000E011176000;Rover Wars
010000E0145BA000;Stonefly
010000E0161BC000;HIM & HER 3
010000F00BF68000;Black and White Bushido
010001001997C000;Pixel Family Fun
010001100E820000;Them Bombs!
0100013012E4E000;Legends of Talia: Arcadia
010001600C962000;BOMBFEST
010001800DBA6000;Winter Sports Games
010001B01398C000;Spirit Arena
010001D014348000;Inexistence Rebirth
01000220158C4000;3D Air Hockey
0100003020DD4000;Uragun
010000500DB50000;Super Tennis Blast
010000600CD54000;Rad Rodgers Radical Edition
0100006013A4A000;Shinobi Blade
010000A00218E000;Splatoon™ 2 Global Testfire
010000C010E76000;Pocket Mini Golf
010001001D5D6000;Military Combat Shooter Desert War
01000130218FE000;Dino Market
010001600D1E8000;Cube Creator X
0100019006F4E000;I Am The Hero
010001B018734000;SuperDuck!
0100024008310000;Street Fighter 30th Anniversary Collection
0100026013434000;Sea of Solitude: The Director's Cut
0100026019F80000;CRYSTORLD
010002801DE5E000;Tokyo Cooking
010002A00CD68000;Indiecalypse
010002A00D168000;Piczle Colors Demo
010002F01A97A000;Toziuha Night: Dracula's Revenge
0100030012E82000;Laid-Back Camp - Virtual - Fumoto Campsite
010000000EEF0000;Shadows 2: Perfidia
010000100C4B8000;Jamestown+
010000201E22E000;Galactic Wars: Defend Your Star Worlds
010000300C79C000;GensokyoDefenders
010000301D428000;Redgar: The Space Viking
010000301E9A0000;Brain Memory 2
01000060085D2000;A Hole New World
010000A00CA78000;Chalk Dash Carnival
010000A017F96000;Gori: Cuddly Carnage
010000B00D800000;The Church in the Darkness
010000E015046000;Eternal Hope
010000E016DDE000;Construction Site Driver
0100013010456000;Doggie Ninja The Burning Strikers
0100016012D38000;BIT.TRIP CORE
0100017019C4A000;Rocket Knight Adventures: Re-Sparked
010001C011354000;Aeolis Tournament
010002401AE94000;Tiny Thor
010002A01ABF8000;Inspector Gadget: MAD Time Party
010002400F408000;Code: Realize ~Future Blessings~
010002900294A000;NBA Playgrounds
010002C01F772000;Guess the Flag!
010002C024064000;3 Card Poker
010002E01825E000;Mysteries Under Lake Ophelia
010003001536E000;Christmas Tina
